,clust,c_avg,c_std,c_max,d_avg,d_std
46016,36,4.0,0.0,4,10.0,0.0
46017,30,4.8,1.6,8,9.1,1.57797338381
46018,29,0.0,0.0,0,1.0,0.0
46019,30,1.0,0.0,1,7.0,0.0
46020,35,0.0,0.0,0,1.0,0.0
46021,31,0.0,0.0,0,2.0,0.0
46022,31,8.2,1.07703296143,11,18.6,1.95959179423
46023,29,0.0,0.0,0,1.0,0.0
46024,30,0.0,0.0,0,1.0,0.0
46025,30,3.5,0.80622577483,5,7.5,0.67082039325
46026,34,6.7,1.34536240471,10,19.0,4.19523539268
46027,31,10.5,4.12916456441,22,37.0,7.72010362625
46028,28,1.0,0.0,1,5.0,0.0
46029,32,2.0,0.0,2,4.0,0.0
46030,35,2.6,0.489897948557,3,19.4,0.489897948557
46031,36,1.6,0.8,3,9.8,1.83303027798
46032,33,0.0,0.0,0,1.0,0.0
46033,27,4.8,2.08806130178,7,18.8,2.08806130178
46034,31,1.0,0.0,1,5.0,0.0
46035,32,0.0,0.0,0,1.0,0.0
46036,34,0.0,0.0,0,3.0,0.0
46037,26,2.6,1.62480768093,5,7.8,2.27156333832
46038,32,6.5,1.8574175621,9,30.1,3.93573373083
46039,29,2.5,0.5,3,9.0,0.0
46040,33,3.8,1.88679622641,9,13.9,3.53411940941
46041,29,2.0,0.0,2,8.0,0.0
46042,32,5.6,0.916515138991,8,8.9,2.7
46043,27,6.0,2.0,8,21.5,5.5
46044,30,0.0,0.0,0,3.0,0.0
46045,32,0.0,0.0,0,1.0,0.0
46046,32,6.0,0.0,6,11.3,0.458257569496
46047,30,1.5,0.5,2,4.0,0.0
46048,32,5.0,1.61245154966,9,16.1,0.943398113206
46049,33,2.0,0.0,2,4.0,0.0
46050,32,16.1,2.07123151772,20,29.9,5.53985559379
46051,31,0.0,0.0,0,7.0,0.0
46052,30,1.4,0.489897948557,2,4.5,0.5
46053,34,0.0,0.0,0,4.0,0.0
46054,36,3.0,0.0,3,9.0,0.0
46055,31,0.0,0.0,0,5.0,0.0
46056,29,2.4,0.489897948557,3,6.0,0.0
46057,32,0.0,0.0,0,1.0,0.0
46058,35,1.0,0.0,1,6.0,0.0
